workspace_id,doctor_id,name,actual_id,gender,experience,speciality_id,speciality_name,speciality_alias,is_active,profile_url,profile_pic,languages,hospitals
78323888282175,175690030027765,Neeraja s,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
78323888282175,176059060196864,Vasudevan M,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
78323888282175,do1773811279074,Gebin Fredrick Y,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
78323888282175,175696604621866,JOYSON S,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
78323888282175,175690049037728,Ragadeepthi S,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,,,"Ovum Hospitals – Hosur:Hosur:Tamil Nadu:68b19f4b0e860d001d23e342:::Ovum Hospitals, Plot No.C- 4 , Bagalur Road, Avalapalli Rd, opposite to Maharishi Bala Vidya Mandir, Hosur, Tamil Nadu 635109"
78323888282175,174980907553895,Venkat S Reddy,,,,11,Pediatrics,"Paediatrics, Child Health, Children's Medicine, Paediatrician",Yes,,https://doctoronboarding.eka.care/b1a10802-4251-4e9d-baed-9fe9c7403131.webp,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,do1769590413760,Ayesha Shaik,,,,6,Not Specified,,Yes,,,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,174980907166217,Vishnu Sunil B N,,,,3,General Medicine,"Internal Medicine, General Physician, GP",Yes,,https://doctoronboarding.eka.care/ed4504be-78d7-40ca-b3e6-de5de67eee76.webp,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,174980908950934,Chinmaya H L,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/c41eebdf-9187-49d6-bf5e-686379df7fb5.webp,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,do1774254591867,Sushma P Pampanavar,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,174980907451897,Syed Faiz,,,,5,Neonatology,"Newborn Care, NICU, Neonatal Medicine, Neonatologist",Yes,,https://doctoronboarding.eka.care/48a7b8ad-b82e-4289-b5b6-cebe4d7e9b96.webp,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,174980907221673,M Vijaya Bharathi,,,,7,Obstetrics & Gynecology,"OB-GYN, Gynaecology, Gynecology, Obstetrics, Women's Health, OBG",Yes,,https://doctoronboarding.eka.care/11add316-63bc-45b4-af39-89a4c4a85d2a.webp,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
78323888282175,174980907194389,Sreejaya V K,,,,3,General Medicine,"Internal Medicine, General Physician, GP",Yes,,https://doctoronboarding.eka.care/7f5b5cb2-b666-4387-8316-4fdac2b55bd2.webp,,"Ovum Hospitals – Hennur:Bengaluru:Karnataka:684966c2cc2d87001db0c315:::Ovum Women and Child Speciality Hospital, Hennur"
